table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2010/11,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.64,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2010/11,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.5,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2010/11,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.2,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2010/11,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.1,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2010/11,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.5,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.67,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.04,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.33,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.84,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.63,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.88,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.23,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.65,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.43,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.23,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.33,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2011/12,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.13,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.49,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.29,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.34,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.48,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.72,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,4.7,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,4.99,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.26,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.76,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.66,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.36,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2012/13,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.76,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.96,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.62,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.9,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.16,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.26,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.89,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.18,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.43,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.62,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.88,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.05,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2013/14,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.4,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.33,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.25,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.61,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.6,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.29,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.85,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.6,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.15,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.96,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.77,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.63,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2014/15,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,7.79,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.21,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.63,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.7,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.41,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.65,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.49,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.91,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.23,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.93,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.03,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.78,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2015/16,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,NA,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,19.08,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.76,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.58,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.07,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.78,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.32,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.17,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.56,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.37,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.28,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,NA,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2016/17,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.66,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,20.91,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,19.27,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.43,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.1,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.97,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.88,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,18.07,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.94,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.35,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.34,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.57,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2017/18,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.14,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,20.41,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,18.66,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.55,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.65,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.15,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.92,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.62,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.78,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.55,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.34,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,5.81,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2018/19,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.7,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.52,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.13,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.39,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,8.53,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,9.18,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.98,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.23,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.46,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.33,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.56,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2019/20,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,14.32,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,23.96,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,21.42,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.57,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,17.01,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,11.68,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.45,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,22.8,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,27.44,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,23.44,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,24.84,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,August,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,23.21,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2020/21,Marketing year,September,September,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,26.59,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,October,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,25.56,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,November,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,19.02,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,December,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.22,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,January,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,15.12,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,February,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,12.47,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,March,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,10.59,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,April,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,16.82,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,May,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,6.79,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,June,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,19.24,dollars per box
"Table C-5--Grapefruit: Price received by growers - equivalent on-tree returns, monthly, United States, 1980/81 to date",2021/22,Marketing year,September,July,Price received by growers - equivalent on-tree returns,Grapefruit,All,United States,13.17,dollars per box
